Source Term Id,Source Term,Mapped Term Label,Mapped Term IRI,Mapping Score
http://ccb.hms.harvard.edu/t2t/R94JaqeDkYE,bmi,body mass index,http://www.ebi.ac.uk/efo/EFO_0004340,0.997882140237458
http://ccb.hms.harvard.edu/t2t/R94JaqeDkYE,bmi,obese body mass index status,http://www.ebi.ac.uk/efo/EFO_0007041,0.6524441234785229
http://ccb.hms.harvard.edu/t2t/R94JaqeDkYE,bmi,longitudinal BMI measurement,http://www.ebi.ac.uk/efo/EFO_0005937,0.5474090369239001
http://ccb.hms.harvard.edu/t2t/R6Wjp6FSxFm,Body Mass Index,body mass index,http://www.ebi.ac.uk/efo/EFO_0004340,0.981875082027579
http://ccb.hms.harvard.edu/t2t/R6Wjp6FSxFm,Body Mass Index,obese body mass index status,http://www.ebi.ac.uk/efo/EFO_0007041,0.7500820635715822
http://ccb.hms.harvard.edu/t2t/R6Wjp6FSxFm,Body Mass Index,longitudinal BMI measurement,http://www.ebi.ac.uk/efo/EFO_0005937,0.746777696779701
